filename,factor,level,white_rgb,black_rgb,blue_rgb,yellow_rgb,phase_shift_deg,ring_ratio,min_radius_divisor,minor_ratio,reverse_inner_rings
A_01.png,A,A1,"(190, 190, 190)","(110, 110, 110)","(95, 140, 215)","(210, 200, 95)",9.0,0.84,10.0,0.6,0
A_02.png,A,A2,"(210, 210, 210)","(85, 85, 85)","(80, 135, 228)","(220, 210, 78)",9.0,0.84,10.0,0.6,0
A_03.png,A,A3,"(228, 228, 228)","(60, 60, 60)","(60, 125, 245)","(232, 220, 55)",9.0,0.84,10.0,0.6,0
A_04.png,A,A4,"(245, 245, 245)","(35, 35, 35)","(35, 108, 255)","(248, 236, 25)",9.0,0.84,10.0,0.6,0
B_01.png,B,B1,"(228, 228, 228)","(60, 60, 60)","(60, 125, 245)","(232, 220, 55)",9.0,0.84,10.0,0.6,0
B_02.png,B,B2,"(228, 228, 228)","(60, 60, 60)","(60, 125, 245)","(232, 220, 55)",9.0,0.84,10.0,0.6,1
B_03.png,B,B3,"(228, 228, 228)","(60, 60, 60)","(60, 125, 245)","(232, 220, 55)",9.0,0.84,10.0,0.6,2
B_04.png,B,B4,"(228, 228, 228)","(60, 60, 60)","(60, 125, 245)","(232, 220, 55)",9.0,0.84,10.0,0.6,3
C_01.png,C,C1,"(228, 228, 228)","(60, 60, 60)","(60, 125, 245)","(232, 220, 55)",9.0,0.74,7.0,0.6,0
C_02.png,C,C2,"(228, 228, 228)","(60, 60, 60)","(60, 125, 245)","(232, 220, 55)",9.0,0.76,7.5,0.6,0
C_03.png,C,C3,"(228, 228, 228)","(60, 60, 60)","(60, 125, 245)","(232, 220, 55)",9.0,0.8,8.5,0.6,0
C_04.png,C,C4,"(228, 228, 228)","(60, 60, 60)","(60, 125, 245)","(232, 220, 55)",9.0,0.84,10.0,0.6,0
C_05.png,C,C5,"(228, 228, 228)","(60, 60, 60)","(60, 125, 245)","(232, 220, 55)",9.0,0.87,12.0,0.6,0
C_06.png,C,C6,"(228, 228, 228)","(60, 60, 60)","(60, 125, 245)","(232, 220, 55)",9.0,0.9,14.0,0.6,0
check_base.png,Check,Base,"(228, 228, 228)","(60, 60, 60)","(60, 125, 245)","(232, 220, 55)",9.0,0.84,10.0,0.6,0
check_strong.png,Check,Strong,"(245, 245, 245)","(35, 35, 35)","(35, 108, 255)","(248, 236, 25)",9.0,0.84,10.0,0.6,0
